INFO 2025-10-27 13:53:19,769 autoreload 33276 7692 Watching for file changes with StatReloader
WARNING 2025-10-27 18:36:49,690 basehttp 27656 35672 "GET /api/pipelines/?search=&status=&material=&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:50,696 log 27656 35672 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:36:50,696 basehttp 27656 35672 "GET /api/pipelines/?search=&status=&material=&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:51,861 log 27656 35672 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:36:51,862 basehttp 27656 35672 "GET /api/satellite-images/?search=&pipeline=&satellite_name=&processing_status=&source_api=&ordering=-image_date HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:52,879 log 27656 35672 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:36:52,879 basehttp 27656 35672 "GET /api/satellite-images/?search=&pipeline=&satellite_name=&processing_status=&source_api=&ordering=-image_date HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:53,779 log 27656 35672 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:36:53,780 basehttp 27656 35672 "GET /api/analysis-results/?confidence_min=0&confidence_max=100&verified=false&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:54,796 log 27656 35672 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:36:54,796 basehttp 27656 35672 "GET /api/analysis-results/?confidence_min=0&confidence_max=100&verified=false&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:55,816 log 27656 35672 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:36:55,816 log 27656 34104 Unauthorized: /api/alerts/active/
WARNING 2025-10-27 18:36:55,816 basehttp 27656 35672 "GET /api/alerts/?is_resolved=false&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:55,816 basehttp 27656 34104 "GET /api/alerts/active/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:56,829 log 27656 34104 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:36:56,829 log 27656 35672 Unauthorized: /api/alerts/active/
WARNING 2025-10-27 18:36:56,829 basehttp 27656 34104 "GET /api/alerts/?is_resolved=false&ordering=-created_at HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:56,829 basehttp 27656 35672 "GET /api/alerts/active/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:58,285 log 27656 35672 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:36:58,285 log 27656 34104 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:36:58,285 log 27656 5676 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:36:58,285 log 27656 30856 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:36:58,285 basehttp 27656 35672 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:58,285 basehttp 27656 34104 "GET /api/satellite-images/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:58,296 basehttp 27656 5676 "GET /api/analysis-results/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:58,298 basehttp 27656 30856 "GET /api/alerts/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:59,298 log 27656 30856 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:36:59,300 log 27656 5676 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:36:59,301 log 27656 34104 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:36:59,302 log 27656 35672 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:36:59,307 basehttp 27656 30856 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:59,307 basehttp 27656 5676 "GET /api/satellite-images/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:59,307 basehttp 27656 34104 "GET /api/analysis-results/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:36:59,308 basehttp 27656 35672 "GET /api/alerts/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:00,348 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:37:00,348 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:01,362 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:37:01,362 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:02,262 log 27656 35672 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:37:02,263 basehttp 27656 35672 "GET /api/satellite-images/?search=&pipeline=&satellite_name=&processing_status=&source_api=&ordering=-image_date HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:03,263 log 27656 35672 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:37:03,263 basehttp 27656 35672 "GET /api/satellite-images/?search=&pipeline=&satellite_name=&processing_status=&source_api=&ordering=-image_date HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:29,356 log 27656 35672 Unauthorized: /api/settings/current/
WARNING 2025-10-27 18:37:29,356 basehttp 27656 35672 "GET /api/settings/current/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:36,442 log 27656 35672 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:37:36,443 basehttp 27656 35672 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:37,446 log 27656 35672 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:37:37,446 basehttp 27656 35672 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:44,456 log 27656 35672 Unauthorized: /api/users/
WARNING 2025-10-27 18:37:44,457 basehttp 27656 35672 "GET /api/users/?ordering=-date_joined HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:45,462 log 27656 35672 Unauthorized: /api/users/
WARNING 2025-10-27 18:37:45,462 basehttp 27656 35672 "GET /api/users/?ordering=-date_joined HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:47,414 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:37:47,415 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:37:48,428 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:37:48,428 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:06,086 log 27656 35672 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:38:06,086 log 27656 34104 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:38:06,086 log 27656 30856 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:38:06,086 log 27656 5676 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:38:06,086 basehttp 27656 34104 "GET /api/satellite-images/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:06,086 basehttp 27656 30856 "GET /api/alerts/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:06,086 basehttp 27656 35672 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:06,086 basehttp 27656 5676 "GET /api/analysis-results/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:07,095 log 27656 5676 Unauthorized: /api/pipelines/
WARNING 2025-10-27 18:38:07,095 log 27656 30856 Unauthorized: /api/satellite-images/
WARNING 2025-10-27 18:38:07,095 log 27656 35672 Unauthorized: /api/analysis-results/
WARNING 2025-10-27 18:38:07,095 log 27656 34104 Unauthorized: /api/alerts/
WARNING 2025-10-27 18:38:07,095 basehttp 27656 5676 "GET /api/pipelines/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:07,095 basehttp 27656 30856 "GET /api/satellite-images/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:07,095 basehttp 27656 34104 "GET /api/alerts/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:07,095 basehttp 27656 35672 "GET /api/analysis-results/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:22,278 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:38:22,278 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:23,294 log 27656 35672 Unauthorized: /api/activity-logs/
WARNING 2025-10-27 18:38:23,294 basehttp 27656 35672 "GET /api/activity-logs/?ordering=-timestamp HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:24,305 log 27656 35672 Unauthorized: /api/users/
WARNING 2025-10-27 18:38:24,306 basehttp 27656 35672 "GET /api/users/?ordering=-date_joined HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:25,310 log 27656 35672 Unauthorized: /api/users/
WARNING 2025-10-27 18:38:25,310 basehttp 27656 35672 "GET /api/users/?ordering=-date_joined HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:26,361 log 27656 35672 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:38:26,361 basehttp 27656 35672 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
WARNING 2025-10-27 18:38:27,395 log 27656 35672 Unauthorized: /api/dashboard/stats/
WARNING 2025-10-27 18:38:27,395 basehttp 27656 35672 "GET /api/dashboard/stats/ HTTP/1.1" 401 58
INFO 2025-10-28 08:17:11,312 autoreload 6896 11672 Watching for file changes with StatReloader
WARNING 2025-10-28 08:17:16,245 log 6896 5080 Not Found: /
WARNING 2025-10-28 08:17:16,246 basehttp 6896 5080 "GET / HTTP/1.1" 404 3629
WARNING 2025-10-28 08:17:16,357 log 6896 5080 Not Found: /favicon.ico
WARNING 2025-10-28 08:17:16,358 basehttp 6896 5080 "GET /favicon.ico HTTP/1.1" 404 3680
INFO 2025-10-28 08:18:51,475 autoreload 26792 2448 Watching for file changes with StatReloader
INFO 2025-10-28 08:19:02,004 basehttp 26792 19012 "GET /admin HTTP/1.1" 301 0
INFO 2025-10-28 08:19:02,044 basehttp 26792 8920 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-10-28 08:19:02,160 basehttp 26792 8920 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4183
INFO 2025-10-28 08:19:02,434 basehttp 26792 5416 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-10-28 08:19:02,436 basehttp 26792 15348 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-10-28 08:19:02,438 basehttp 26792 18456 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-10-28 08:19:02,439 basehttp 26792 8920 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-28 08:19:02,442 basehttp 26792 12236 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-10-28 08:19:02,446 basehttp 26792 25048 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-28 08:19:02,463 basehttp 26792 25048 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
ERROR 2025-10-28 08:20:54,031 log 26792 25048 Internal Server Error: /admin/login/
Traceback (most recent call last):
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 855, in connect_check_health
    sock = self.retry.call_with_retry(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\retry.py", line 116, in call_with_retry
    return do()
           ^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 856, in <lambda>
    lambda: self._connect(), lambda error: self.disconnect(error)
            ^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 1306, in _connect
    raise err
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 1290, in _connect
    sock.connect(socket_address)
ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\decorators\cache.py", line 80, in _view_wrapper
    response = view_func(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\admin\sites.py", line 449, in login
    return LoginView.as_view(**defaults)(request)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\generic\base.py", line 105, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\decorators\debug.py", line 143, in sensitive_post_parameters_wrapper
    return view(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 192, in _view_wrapper
    result = _process_exception(request, e)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 190, in _view_wrapper
    response = view_func(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\decorators\cache.py", line 80, in _view_wrapper
    response = view_func(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\auth\views.py", line 89, in dispatch
    return super().dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\generic\base.py", line 144, in dispatch
    return handler(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\generic\edit.py", line 151, in post
    return self.form_valid(form)
           ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\auth\views.py", line 108, in form_valid
    auth_login(self.request, form.get_user())
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\auth\__init__.py", line 187, in login
    request.session.cycle_key()
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\sessions\backends\base.py", line 432, in cycle_key
    self.create()
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\sessions\backends\cache.py", line 55, in create
    self._session_key = self._get_new_session_key()
                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\sessions\backends\base.py", line 196, in _get_new_session_key
    if not self.exists(session_key):
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\sessions\backends\cache.py", line 117, in exists
    bool(session_key) and (self.cache_key_prefix + session_key) in self._cache
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\cache\backends\base.py", line 301, in __contains__
    return self.has_key(key)
           ^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\cache\backends\redis.py", line 211, in has_key
    return self._cache.has_key(key)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\cache\backends\redis.py", line 131, in has_key
    return bool(client.exists(key))
                ^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\commands\core.py", line 1741, in exists
    return self.execute_command("EXISTS", *names, keys=names)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\client.py", line 657, in execute_command
    return self._execute_command(*args, **options)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\client.py", line 663, in _execute_command
    conn = self.connection or pool.get_connection()
                              ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\utils.py", line 196, in wrapper
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 2601, in get_connection
    connection.connect()
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 846, in connect
    self.connect_check_health(check_health=True)
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 863, in connect_check_health
    raise ConnectionError(self._error_message(e))
redis.exceptions.ConnectionError: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
INFO 2025-10-28 08:20:54,035 basehttp 26792 25048 - Broken pipe from ('127.0.0.1', 63245)
ERROR 2025-10-28 08:20:55,043 log 26792 12236 Internal Server Error: /admin/login/
Traceback (most recent call last):
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 855, in connect_check_health
    sock = self.retry.call_with_retry(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\retry.py", line 116, in call_with_retry
    return do()
           ^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 856, in <lambda>
    lambda: self._connect(), lambda error: self.disconnect(error)
            ^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 1306, in _connect
    raise err
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\redis\connection.py", line 1290, in _connect
    sock.connect(socket_address)
ConnectionRefusedError: [WinError 10061] No connection could be made because the target machine actively refused it

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\decorators\cache.py", line 80, in _view_wrapper
    response = view_func(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\contrib\admin\sites.py", line 449, in login
    return LoginView.as_view(**defaults)(request)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\generic\base.py", line 105, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\views\decorators\debug.py", line 143, in sensitive_post_parameters_wrapper
    return view(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 48, in _wrapper
    return bound_method(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 192, in _view_wrapper
    result = _process_exception(request, e)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\.virtualenvs\server-SkEj4tMZ\Lib\site-packages\django\utils\decorators.py", line 190, in _view_wrapper
    response = view_func(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
